"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
0,3951072;-9,328;0,01;0,7;380;0,8039802775;0;-0,056;1
0,1573344;-3,484;0,016;1,6;380;0,8039802775;0,1;0,061;2
0,2306016;-1,894;0,011;7;380;0,8039802775;0,013;0,05;3
0,4738176;0,373;0,017;0,8;380;0,8039802775;0,033;-0,002;4
0,9157536;-1,085;0,031;2,3;380;0,8039802775;0,071;-0,013;5
0,4288896;-0,089;0,036;0,1;380;0,8039802775;0,079;-0,037;6
1,14696;0,709;0,06;4,9;380;0,8039802775;0,117;-0,066;7
0,193968;2,983;0,12;0,1;380;0,8039802775;0,018;-0,063;8
0,8485344;2,471;0,14;0;380;0,8039802775;0,125;-0,008;9
2,2826016;-1,585;0,05;0;380;0,8039802775;0,089;-0,021;10
0,2140992;0,456;0,045;0,1;380;0,8039802775;0,032;0,03;11
0,274752;1,378;0,035;0,3;380;0,8039802775;-0,008;0,048;12
0,3907008;-0,19;0,019;0,6;380;0,8039802775;0,01;0,022;13
0,849312;-3,656;0,037;3,5;380;0,8039802775;-0,009;0,063;14
0,7053696;-2,383;0,031;0;380;0,8039802775;0,029;0,085;15
0,32184;-0,065;0,029;0,3;380;0,8039802775;0,013;-0,049;16
1,6396992;-0,609;0,145;1,8;380;0,8039802775;0,259;0,012;17
1,3459392;-8,02;0,075;0;380;0,8039802775;0,029;0,043;18
1,0079424;-8,223;0,025;0,1;380;0,8039802775;0,193;0,03;19
0,6833376;-9,747;0,012;1,7;380;0,8039802775;-0,019;-0,009;20
1,432512;-12,415;0,022;6,3;380;0,8039802775;0,112;-0,015;21
3,8349504;-12,222;0,019;0,2;380;0,8039802775;0,115;-0,011;22
1,5494976;-11,732;0,012;0;380;0,8039802775;0,243;0,019;23
3,6573984;-14,388;0,024;0,2;380;0,8039802775;0,14;0,06;24
0,9815904;-12,227;0,013;0;380;0,8039802775;0,081;0,031;25
2,1291552;-2,475;0,031;2,7;380;0,8039802775;0,092;-0,042;26
3,6343296;-3,203;0,064;0;380;0,8039802775;0,105;-0,039;27
1,8734112;-6,735;0,044;0,1;380;0,8039802775;-0,001;-0,015;28
0,6028992;-5,561;0,009;2,3;380;0,8039802775;0,064;0,112;29
0,9753696;-3,44;0,043;6,8;380;0,8039802775;0,218;0,058;30
4,9211712;-5,859;0,103;2,4;380;0,8039802775;0,234;0,034;31
4,9052736;-2,611;0,101;0;380;0,8039802775;0,247;0,024;32
2,267568;-6,023;0,012;0;380;0,8039802775;0,04;0,023;33
5,0400576;-8,734;0,018;0;380;0,8039802775;0,291;0,012;34
1,6797888;-4,048;0,05;0;380;0,8039802775;0,093;-0,02;35
5,2556256;-2,742;0,143;1,7;380;0,8039802775;0,147;0,06;36
0,9598176;-0,67;0,041;0;380;0,8039802775;0,086;-0,063;37
2,8480896;0,309;0,046;3,5;380;0,8039802775;0,202;-0,011;38
2,5301376;0,621;0,045;3,7;380;0,8039802775;0,142;0,027;39
2,4988608;-1,415;0,035;0;380;0,8039802775;0,161;0,023;40
6,0461856;-2,762;0,056;0,2;380;0,8039802775;0,058;0,066;41
4,434048;1,012;0,086;3,4;380;0,8039802775;0,176;-0,016;42
5,6955744;0,23;0,113;0;380;0,8039802775;0,074;-0,083;43
1,4202432;-0,142;0,056;0;380;0,8039802775;0,2;-0,033;44
3,5455104;-1,311;0,048;2,5;380;0,8039802775;0,156;0,071;45
3,6739008;-4,534;0,046;0;380;0,8039802775;0,106;0,065;46
2,3530176;-1,601;0,025;2,4;380;0,8039802775;0,109;0,049;47
1,2479616;-1,734;0,022;4;380;0,8039802775;0,009;0,005;48
2,6056512;-6,057;0,037;4,1;380;0,8039802775;0,037;0,047;49
3,490128;-4,51;0,051;0,4;380;0,8039802775;0,07;0,06;50
5,0592384;-3,773;0,052;0;380;0,8039802775;0,103;0,042;51
6,5109312;-8,09;0,027;0;380;0,8039802775;0;0,066;52
5,2450848;-9,882;0,009;0,8;380;0,8039802775;0;0,017;53
11,5937568;-10,494;0,023;0,1;380;0,8039802775;0,065;0,041;54
9,0727776;-13,069;0,022;0;380;0,8039802775;0,083;0,044;55
6,064848;-9,521;0,017;0,1;380;0,8039802775;0,234;0,078;56
10,6888032;-8,939;0,018;3,5;380;0,8039802775;0,272;0,092;57
3,2894208;-2,896;0,024;0,2;380;0,8039802775;0,079;0,055;58
0,762048;1,955;0,033;3,5;380;0,8039802775;0,208;-0,037;59
1,7196192;2,111;0,134;5;380;0,8039802775;0,223;0,046;60
2,7390528;1,114;0,069;0;380;0,8039802775;0,229;0,049;61
3,8212128;-3,499;0,04;10,9;380;0,8039802775;0;0,035;62
4,9673952;-3,622;0,034;0,3;380;0,8039802775;0;0,041;63
