run,execution_time,hiddensize,batchsize,learningrate,history,activation,rmse_train,rmse_val,mae_train,mae_val
30,39065.97210788727,32,32,0.005,10,<function relu at 0x7f232ca43d08>,0.6090209484100342,1.9822131395339966,0.4612363576889038,1.5272094011306763
30,55112.10495042801,32,256,0.001,10,<function relu at 0x7f232ca43d08>,0.6146726012229919,2.10485577583313,0.46228933334350586,1.5937541723251343
30,55428.34169745445,32,256,0.01,10,<function relu at 0x7f232ca43d08>,0.1308533400297165,2.246795177459717,0.09357599169015884,1.7125574350357056
30,66620.5804347992,32,32,0.001,20,<function relu at 0x7f232ca43d08>,0.9448272585868835,1.8860431909561157,0.7161808013916016,1.4022254943847656
30,67722.31493496895,32,512,0.01,10,<function relu at 0x7f232ca43d08>,0.08323129266500473,2.2727131843566895,0.060069117695093155,1.7415833473205566
30,67838.46659946442,32,512,0.0001,10,<function relu at 0x7f232ca43d08>,1.2245930433273315,1.6930805444717407,0.9236167073249817,1.2882518768310547
30,74723.27525663376,64,512,0.0001,10,<function relu at 0x7f232ca43d08>,1.0886008739471436,1.7843164205551147,0.8259531855583191,1.3465580940246582
30,75321.2130908966,128,32,0.01,10,<function relu at 0x7f232ca43d08>,0.3163330852985382,1.942592978477478,0.23661820590496063,1.482495903968811
30,78037.56486320496,128,64,0.0001,10,<function relu at 0x7f232ca43d08>,1.2351354360580444,1.683607578277588,0.9426293969154358,1.2920632362365723
30,87544.14931869507,64,32,0.001,20,<function relu at 0x7f232ca43d08>,0.8484253287315369,2.0117719173431396,0.6423520445823669,1.5231142044067383
30,87952.65406703949,64,64,0.005,20,<function relu at 0x7f232ca43d08>,0.30388161540031433,2.040510416030884,0.22256366908550262,1.5637664794921875
30,88597.32452869415,128,256,0.01,10,<function relu at 0x7f232ca43d08>,0.06288035959005356,1.97784423828125,0.047254737466573715,1.5002508163452148
30,94544.36633658409,32,512,0.005,20,<function relu at 0x7f232ca43d08>,0.2545737624168396,2.3118932247161865,0.1776142120361328,1.75946843624115
30,100555.90196061134,128,512,0.001,10,<function relu at 0x7f232ca43d08>,0.1418674886226654,2.226287603378296,0.10018619149923325,1.7200838327407837
30,110833.64252138138,64,512,0.01,20,<function relu at 0x7f232ca43d08>,0.03603149205446243,2.1236441135406494,0.026137053966522217,1.6284245252609253
30,110973.84946250916,64,512,0.01,20,<function relu at 0x7f232ca43d08>,0.13539613783359528,2.158109188079834,0.10196995735168457,1.6200188398361206
30,115651.81371927261,256,32,0.001,10,<function relu at 0x7f232ca43d08>,0.4542047679424286,1.9986320734024048,0.33612480759620667,1.5140002965927124
30,118533.99747252464,256,64,0.0001,10,<function relu at 0x7f232ca43d08>,1.128265380859375,1.7530674934387207,0.8655735850334167,1.3313034772872925
30,125252.97153544426,256,128,0.0001,10,<function relu at 0x7f232ca43d08>,0.9634426236152649,1.8499606847763062,0.7446683049201965,1.38345468044281
30,128541.12072730064,128,256,0.0001,20,<function relu at 0x7f232ca43d08>,0.8675569891929626,1.9545331001281738,0.6694748997688293,1.4443930387496948
30,151752.3690340519,512,32,0.0001,10,<function relu at 0x7f232ca43d08>,1.1505047082901,1.797406554222107,0.8860904574394226,1.370985984802246
30,156100.69811868668,512,64,0.001,10,<function relu at 0x7f232ca43d08>,0.20768588781356812,1.9762738943099976,0.1560441106557846,1.5142345428466797
30,156961.81340265274,512,128,0.01,10,<function relu at 0x7f232ca43d08>,0.18921957910060883,1.899748682975769,0.1390058547258377,1.4558743238449097
30,160667.5521876812,512,256,0.001,10,<function relu at 0x7f232ca43d08>,0.04472481831908226,1.9553751945495605,0.033796556293964386,1.4954500198364258
30,168948.72495937347,512,512,0.005,10,<function relu at 0x7f232ca43d08>,0.006454726215451956,1.9622077941894531,0.004757904447615147,1.4753565788269043
30,169000.24865937233,512,512,0.01,10,<function relu at 0x7f232ca43d08>,0.06449401378631592,1.956084132194519,0.05063183978199959,1.508769154548645
30,169014.00242066383,512,512,0.01,10,<function relu at 0x7f232ca43d08>,0.0253938939422369,1.927168369293213,0.019488146528601646,1.4819822311401367
30,189110.7721838951,512,256,0.005,20,<function relu at 0x7f232ca43d08>,0.08457700163125992,1.9734363555908203,0.06245239078998566,1.501768946647644
30,190723.2616097927,512,256,0.001,20,<function relu at 0x7f232ca43d08>,0.11008938401937485,1.9807857275009155,0.07747018337249756,1.5073884725570679
30,192298.3342745304,512,512,0.001,20,<function relu at 0x7f232ca43d08>,0.02478708140552044,2.1959428787231445,0.018818499520421028,1.6389161348342896
