run,execution_time,hiddensize,batchsize,learningrate,history,activation,rmse_train,rmse_val,mae_train,mae_val
30,52875.17560195923,64,128,0.005,10,<function relu at 0x7fd08f45fd08>,0.22518885135650635,2.0520341396331787,0.1630457192659378,1.5442475080490112
30,66312.33767724037,64,64,0.005,15,<function relu at 0x7fd08f45fd08>,0.2184206247329712,2.0519113540649414,0.153801828622818,1.5409311056137085
30,73187.78222608566,64,128,0.005,15,<function relu at 0x7fd08f45fd08>,0.11588507145643234,2.1444809436798096,0.0848916545510292,1.6329036951065063
30,79105.5934176445,128,64,0.005,10,<function relu at 0x7fd08f45fd08>,0.09318359941244125,1.909775733947754,0.06802704185247421,1.4521273374557495
30,80649.10095715523,64,256,0.01,15,<function relu at 0x7fd08f45fd08>,0.058957066386938095,2.0976927280426025,0.044258877635002136,1.5875571966171265
30,97780.71614313126,64,128,0.001,20,<function relu at 0x7fd08f45fd08>,0.5713570713996887,2.072672128677368,0.41888225078582764,1.579271912574768
30,107547.8875143528,128,512,0.0001,10,<function relu at 0x7fd08f45fd08>,0.862849771976471,1.9507466554641724,0.6674456596374512,1.44917631149292
30,113351.76407504082,128,128,0.001,15,<function relu at 0x7fd08f45fd08>,0.24462057650089264,2.2046988010406494,0.17294692993164062,1.6591852903366089
30,131429.94268989563,256,64,0.0001,10,<function relu at 0x7fd08f45fd08>,1.1267123222351074,1.7269912958145142,0.8700015544891357,1.2973564863204956
30,131947.1338737011,128,64,0.005,20,<function relu at 0x7fd08f45fd08>,0.29661086201667786,2.075122833251953,0.21070067584514618,1.5749855041503906
30,132251.56291031837,128,64,0.0001,20,<function relu at 0x7fd08f45fd08>,1.0327290296554565,1.8179574012756348,0.8004472851753235,1.3490586280822754
30,133988.63509750366,256,256,0.001,10,<function relu at 0x7fd08f45fd08>,0.12361133843660355,1.9805253744125366,0.09273939579725266,1.5232220888137817
30,139333.25783085823,128,128,0.005,20,<function relu at 0x7fd08f45fd08>,0.13516241312026978,2.029881715774536,0.09915274381637573,1.5241068601608276
30,140541.1139063835,128,512,0.001,15,<function relu at 0x7fd08f45fd08>,0.13546252250671387,2.3105885982513428,0.09358599036931992,1.7982248067855835
30,167550.89911532402,128,512,0.01,20,<function relu at 0x7fd08f45fd08>,0.045509617775678635,2.106853723526001,0.029832741245627403,1.5977731943130493
30,182179.39877033234,256,512,0.001,15,<function relu at 0x7fd08f45fd08>,0.049068715423345566,2.1723482608795166,0.03522147610783577,1.657496452331543
30,187695.04143095016,512,64,0.01,10,<function relu at 0x7fd08f45fd08>,0.2743631601333618,1.9332276582717896,0.19903723895549774,1.4702640771865845
30,188192.16228437424,512,128,0.0001,10,<function relu at 0x7fd08f45fd08>,0.7394314408302307,1.9419546127319336,0.566512942314148,1.4684858322143555
30,193197.40854668617,512,256,0.0001,10,<function relu at 0x7fd08f45fd08>,0.5514886379241943,2.0677099227905273,0.41414883732795715,1.5860666036605835
30,199096.03730678558,256,64,0.005,20,<function relu at 0x7fd08f45fd08>,0.11230236291885376,1.946358561515808,0.08162230998277664,1.478803038597107
30,209120.4080555439,256,128,0.0001,20,<function relu at 0x7fd08f45fd08>,0.8635854721069336,2.00150203704834,0.6650773882865906,1.4876770973205566
30,209161.87851047516,256,128,0.005,20,<function relu at 0x7fd08f45fd08>,0.13895834982395172,1.9819135665893555,0.10074032098054886,1.4885692596435547
30,214393.19623231888,256,512,0.01,20,<function relu at 0x7fd08f45fd08>,0.06699776649475098,1.9657071828842163,0.050006527453660965,1.48816978931427
30,225202.73981523514,512,128,0.0001,15,<function relu at 0x7fd08f45fd08>,0.7215994000434875,2.0532538890838623,0.5505824089050293,1.5415325164794922
30,225752.6440973282,512,64,0.01,15,<function relu at 0x7fd08f45fd08>,0.8109447360038757,1.9665464162826538,0.6109189391136169,1.489155888557434
30,229041.06264042854,512,256,0.0001,15,<function relu at 0x7fd08f45fd08>,0.5559279322624207,2.1549603939056396,0.4167057275772095,1.5974899530410767
30,229258.58279800415,512,256,0.005,15,<function relu at 0x7fd08f45fd08>,0.056521546095609665,2.002513885498047,0.042187806218862534,1.5329937934875488
30,242934.8393549919,512,256,0.01,20,<function relu at 0x7fd08f45fd08>,0.17049871385097504,1.9299720525741577,0.1267785131931305,1.448501467704773
30,246633.02559900284,512,512,0.005,20,<function relu at 0x7fd08f45fd08>,0.06652772426605225,2.083322286605835,0.05040837824344635,1.570428490638733
30,250509.22644495964,512,512,0.005,20,<function relu at 0x7fd08f45fd08>,0.12344712764024734,2.017688035964966,0.09330219030380249,1.5246919393539429
