run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
48,3041.451133966446,[64],16,0.0001,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,0.6848430633544922,0.6336079239845276,0.5028451085090637,0.4856845438480377
22,3154.690516233444,[16],128,0.001,0,<class 'torch.nn.modules.activation.Sigmoid'>,1,0.5564743876457214,0.5417187213897705,0.40129518508911133,0.4036730229854584
18,3166.193212747574,[128],16,0.0001,1,<class 'torch.nn.modules.activation.Sigmoid'>,1,0.641883134841919,0.5914375185966492,0.4651913642883301,0.4500298798084259
27,3693.972885608673,[128],128,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,1,0.4311368763446808,0.607688844203949,0.3073343336582184,0.45052388310432434
11,3705.0494060516357,[16],256,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,0.5023357272148132,0.5669516921043396,0.36071714758872986,0.41873034834861755
21,3721.7216868400574,[256],16,0.001,0,<class 'torch.nn.modules.activation.Sigmoid'>,1,0.5718642473220825,0.5428353548049927,0.4173809289932251,0.4106239378452301
10,3865.571778535843,"[64, 64]",16,0.0001,0,<class 'torch.nn.modules.activation.Sigmoid'>,2,0.6731407046318054,0.6153210997581482,0.48754921555519104,0.4680788516998291
42,4158.225710630417,"[16, 256]",16,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.4934785068035126,0.5538841485977173,0.3527642786502838,0.4144042432308197
8,4207.595487356186,"[16, 64]",64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,2,0.4812227487564087,0.5673238635063171,0.3409682512283325,0.4156331717967987
24,4241.709562540054,[128],256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,1,0.46101951599121094,0.5733368992805481,0.3263067305088043,0.4239506423473358
9,4281.379048109055,"[64, 64]",64,0.001,0,<class 'torch.nn.modules.activation.Sigmoid'>,2,0.5543689727783203,0.5369561314582825,0.40099239349365234,0.399763822555542
