run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
50,4328.388085842133,[16],16,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.1726927757263184,1.4536137580871582,0.8230859637260437,1.073095440864563
50,4568.355020999908,[64],16,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.1783827543258667,1.4665452241897583,0.8361740112304688,1.0833179950714111
50,4870.480564832687,"[16, 16]",16,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.172925591468811,1.484357237815857,0.8354204297065735,1.1160658597946167
50,5257.257743358612,[16],256,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.5530601739883423,1.7292861938476562,1.1233643293380737,1.2905656099319458
50,5548.921487569809,[64],64,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,1,0.9913174510002136,1.537003517150879,0.6903409957885742,1.1229455471038818
50,5600.650820016861,"[16, 16]",128,0.05,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.9890534281730652,1.5915770530700684,0.7065988183021545,1.1405812501907349
50,5793.5943241119385,[256],16,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.0463365316390991,1.4884834289550781,0.726910412311554,1.094982624053955
50,5828.867345094681,[128],64,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.0064858198165894,1.4822708368301392,0.7044944763183594,1.0741580724716187
50,6315.325266838074,"[128, 16, 16]",16,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.0422239303588867,1.4875551462173462,0.7254796028137207,1.0903042554855347
50,6522.520917892456,[64],256,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.0706828832626343,1.419079303741455,0.7369632720947266,1.0592474937438965
50,6533.576658248901,[128],256,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,1,0.7808799147605896,1.5984891653060913,0.5479673743247986,1.1918154954910278
50,6640.169543027878,[256],64,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.0468274354934692,1.5379022359848022,0.746679961681366,1.139992594718933
50,6709.360044956207,[256],64,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.2541950941085815,1.4633255004882812,0.8809714317321777,1.0718926191329956
50,6726.909457206726,[256],64,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,1,0.8286058902740479,1.5458827018737793,0.5911569595336914,1.156234860420227
50,6758.270142316818,"[128, 128]",16,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.94688481092453,1.4571714401245117,0.650131344795227,1.0951600074768066
50,6827.294992208481,"[64, 64]",64,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.2062126398086548,1.42599618434906,0.8400478363037109,1.0450154542922974
50,6926.535584449768,[512],64,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,1,0.8936429023742676,1.506622314453125,0.6286494135856628,1.0977283716201782
50,6966.683504343033,"[64, 64, 16]",16,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.2561355829238892,1.4175513982772827,0.8820644021034241,1.0421878099441528
50,7055.207362413406,[256],256,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,1,0.7602853178977966,1.5610803365707397,0.517540454864502,1.1441494226455688
50,7125.343289136887,[64],512,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,1,0.9142799377441406,1.565677523612976,0.6387283205986023,1.146828293800354
50,7606.000636100769,[512],128,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,0.7180854678153992,1.593147873878479,0.4986659586429596,1.1841243505477905
50,7656.141971349716,"[256, 16]",64,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.1731244325637817,1.4285410642623901,0.8127246499061584,1.0451397895812988
50,7675.344088554382,[256],512,0.05,0,<class 'torch.nn.modules.activation.ReLU'>,1,0.6335628032684326,1.8299967050552368,0.4582020342350006,1.3417587280273438
50,7906.683438301086,"[256, 16]",128,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.8597432971000671,1.5356537103652954,0.5864748954772949,1.125374436378479
50,7911.719030380249,"[128, 128]",256,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.7060844898223877,1.5871995687484741,0.4697032868862152,1.1623787879943848
50,8390.725748300552,"[512, 16, 256]",16,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.9380338788032532,1.5710257291793823,0.6552793383598328,1.13565194606781
50,8600.970207691193,"[256, 128]",128,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.0062587261199951,1.4389139413833618,0.6863853335380554,1.0702643394470215
50,8612.44222521782,"[128, 256]",128,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.6165995001792908,1.6691421270370483,0.4040036201477051,1.2051211595535278
50,8656.222964525223,"[128, 256]",256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.5679239630699158,1.711888313293457,0.3744911849498749,1.2539314031600952
50,8686.706273555756,"[128, 512]",16,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.9112949371337891,1.5308021306991577,0.6305775046348572,1.1287391185760498
50,8689.703303575516,"[64, 16, 128]",512,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.0711313486099243,1.4309576749801636,0.7375134825706482,1.0583826303482056
50,8724.075313568115,"[64, 128, 64]",256,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.22435784339904785,1.8874088525772095,0.16020090878009796,1.3503543138504028
50,8739.999223947525,"[16, 512]",256,0.05,1,<class 'torch.nn.modules.activation.ReLU'>,2,0.5117409825325012,1.9417580366134644,0.37449660897254944,1.3592896461486816
50,8745.913420438766,"[256, 64, 128]",128,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,0.9667091369628906,1.4781821966171265,0.6571810245513916,1.1049070358276367
50,8792.545643091202,"[512, 64]",128,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.4092912971973419,1.7762166261672974,0.2955668866634369,1.2288323640823364
50,8817.548355579376,"[16, 16, 512]",128,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.2561174631118774,1.6471773386001587,0.9393124580383301,1.247458815574646
50,9242.080933332443,"[256, 256, 16]",128,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.9173130989074707,1.4760500192642212,0.6190399527549744,1.0894709825515747
50,9270.712725162506,"[16, 64, 512]",256,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.0431772470474243,1.4238386154174805,0.7214043140411377,1.0482791662216187
50,9357.681142807007,[64],512,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.0438448190689087,1.410152554512024,0.717402994632721,1.0433471202850342
50,9532.324854373932,"[128, 128, 256]",512,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,0.8281542658805847,1.524001121520996,0.5553849935531616,1.1221181154251099
50,9723.896418571472,"[64, 256, 512]",128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.33534082770347595,1.8500843048095703,0.23761089146137238,1.3130205869674683
50,9844.740304231644,"[512, 16]",512,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,2,0.3468897044658661,1.8316210508346558,0.24796704947948456,1.3031522035598755
50,9848.340042114258,"[512, 128, 256]",256,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,3,0.2144925743341446,1.8576825857162476,0.1428065150976181,1.30520498752594
50,10099.829340219498,"[256, 128, 512]",512,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.6492035984992981,1.628073811531067,0.4224909543991089,1.1776753664016724
50,10181.262239933014,"[64, 64]",512,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,0.7652788758277893,1.6630277633666992,0.5133240222930908,1.1862415075302124
50,10183.834967851639,"[128, 64]",512,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.0361833572387695,1.4246344566345215,0.7087879180908203,1.055029273033142
50,10239.394090175629,"[16, 512, 512]",256,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.20246626436710358,1.8187761306762695,0.14081375300884247,1.3033814430236816
50,10291.212210416794,"[16, 16, 128]",512,0.05,2,<class 'torch.nn.modules.activation.ReLU'>,3,0.6952333450317383,1.8836725950241089,0.5043075680732727,1.3331096172332764
50,10434.78716301918,"[512, 256, 512]",512,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,3,0.11081209778785706,1.7900747060775757,0.07763312757015228,1.2712043523788452
50,10469.519820451736,"[512, 512, 512]",512,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,3,0.32884058356285095,1.7865204811096191,0.19524185359477997,1.276364803314209
