run,execution_time,hiddensize,batchsize,learningrate,history,channels,kernelsize,rmse_train,rmse_val,mae_train,mae_val
5,1694.7724759578705,64,64,0.001,20,"[10, 20]",3,0.42440685629844666,0.44967004656791687,0.28116825222969055,0.3013109564781189
0,1776.1743748188019,128,128,0.05,10,"[7, 14]",3,0.41713419556617737,0.44759687781333923,0.2794506847858429,0.29515182971954346
6,1735.2745463848114,64,64,0.005,20,"[14, 28]",3,0.39417681097984314,0.43629932403564453,0.25978735089302063,0.2890714406967163
7,1733.1798362731934,128,8,0.01,10,"[10, 20]",3,0.4515984356403351,0.44983065128326416,0.30643120408058167,0.311644971370697
19,1637.6986281871796,64,8,0.05,10,"[10, 20]",3,0.5118816494941711,0.5215041041374207,0.3854199945926666,0.38820183277130127
4,2178.2194364070892,256,8,0.05,10,"[10, 20]",2,0.606280505657196,0.6479591727256775,0.46151745319366455,0.48560991883277893
2,2200.0859780311584,256,8,0.01,20,"[7, 14]",3,0.4541139602661133,0.471320778131485,0.31897130608558655,0.33877912163734436
10,2283.1782734394073,128,8,0.005,20,"[14, 28]",3,0.43311166763305664,0.46423855423927307,0.29331332445144653,0.3217271864414215
3,2410.177101612091,64,128,0.05,30,"[10, 20]",2,0.4380754232406616,0.4823477268218994,0.2959285378456116,0.32782822847366333
14,2247.797050476074,256,8,0.05,20,"[7, 14]",3,0.48969128727912903,0.5190058350563049,0.3428765833377838,0.36719727516174316
9,2355.120989561081,256,8,0.05,30,"[7, 14]",2,0.5960438847541809,0.6244181990623474,0.48505544662475586,0.5138795971870422
15,2240.20872426033,128,8,0.005,20,"[10, 20]",2,0.4264273941516876,0.45989885926246643,0.3013790547847748,0.32773280143737793
8,2486.114515542984,256,128,0.001,20,"[7, 14]",2,0.43911901116371155,0.469047874212265,0.30946624279022217,0.3291272819042206
18,2267.558042049408,256,64,0.005,10,"[14, 28]",2,0.4239577353000641,0.43901360034942627,0.28613147139549255,0.2972504198551178
12,2444.2203001976013,128,128,0.01,20,"[14, 28]",2,0.38643768429756165,0.4245418310165405,0.2483445256948471,0.27944374084472656
1,2591.0539219379425,256,8,0.005,30,"[14, 28]",2,0.44721686840057373,0.4598630964756012,0.30152150988578796,0.3146648108959198
13,2434.6342017650604,256,128,0.01,10,"[14, 28]",2,0.41106629371643066,0.43458619713783264,0.2728725075721741,0.29074862599372864
17,2351.9650859832764,128,128,0.01,30,"[10, 20]",2,0.39268532395362854,0.44017109274864197,0.25194960832595825,0.2875833213329315
11,2715.347414255142,64,64,0.05,30,"[14, 28]",3,0.4398658275604248,0.46240153908729553,0.3155370056629181,0.3345816135406494
16,2709.199198961258,128,128,0.05,30,"[14, 28]",3,0.43461596965789795,0.4664827883243561,0.297111839056015,0.3253580331802368
