run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,6,False,200,4,0.3042760720892141,0.34484252950054967,0.18856527540163628,0.21700877634000712
1,6,False,200,5,0.2726274790202548,0.3409073350288743,0.16592248145447758,0.20956770138761238
2,6,False,200,6,0.24306927139564552,0.338209398551857,0.14633975554983633,0.2060634409231036
3,6,False,200,7,0.2134623045998433,0.3374170716740186,0.12739381641091213,0.20484344628581339
4,6,False,300,4,0.3037602755078333,0.3436328435590483,0.18811671417661946,0.21587647571192484
5,6,False,300,5,0.2724033704140126,0.34055800081455195,0.16579867728733919,0.20972806259701338
6,6,False,300,6,0.2427518888665626,0.3388244078611459,0.1461585527800041,0.20631731380365068
7,6,False,300,7,0.21336366861761266,0.3379489999607765,0.12737204778152442,0.20484503162425824
8,6,False,400,4,0.30416594093703964,0.344102692865717,0.18841365710758637,0.21643667333279348
9,6,False,400,5,0.27266838491954754,0.3405125556505661,0.16584020598321714,0.20931410226908206
10,6,False,400,6,0.24273083868548287,0.3386715907526428,0.14616211931445053,0.20636200233642607
11,6,False,400,7,0.21356762997484616,0.33778186137734373,0.12731058819475433,0.204982462297971
12,6,False,500,4,0.30397214577059856,0.3440977701086725,0.18843220888217463,0.2165224933795906
13,6,False,500,5,0.27232923786323276,0.34137219917267614,0.16578169095068704,0.21037038541719175
14,6,False,500,6,0.2426245514504001,0.3386716348074588,0.14604847372639912,0.20633551049880985
15,6,False,500,7,0.21336820057385528,0.33804079682578253,0.12728415052289324,0.20516565705612935
