,id,model,typ,CVfold,finetuned_type,perc,epochs,rmse_train,rmse_val,mae_train,mae_val,task
0,,mlp,0,,,10,10000,2.085998296737671,2.757097721099853,1.7519928216934204,2.187654972076416,
1,,mlp,0,,,15,10000,2.498413324356079,2.7857413291931152,2.1642067432403564,2.419193744659424,
2,,mlp,0,,,20,10000,2.48423433303833,2.6211578845977783,2.1450440883636475,2.1883368492126465,
3,,mlp,0,,,25,10000,2.336625576019287,2.6846556663513184,1.9109230041503904,2.1465616226196294,
4,,mlp,0,,,30,10000,1.4931665658950806,1.6958805322647097,1.2361829280853271,1.3583943843841553,
5,,mlp,0,,,35,10000,2.0717244148254395,2.203020572662353,1.757025957107544,1.847064018249512,
6,,mlp,0,,,40,10000,2.299245834350586,2.295403480529785,1.9140688180923464,1.9203522205352783,
7,,mlp,0,,,45,10000,2.538981914520264,2.686597347259521,2.14897894859314,2.2395150661468506,
8,,mlp,0,,,50,10000,3.110407590866089,3.032991647720337,2.6774115562438965,2.586207389831543,
9,,mlp,0,,,55,10000,2.755974531173706,2.613034248352051,2.3795294761657715,2.273317575454712,
10,,mlp,0,,,60,10000,2.4249768257141118,2.337052822113037,2.026556491851806,1.9565649032592771,
11,,mlp,0,,,65,10000,2.666207790374756,2.6829161643981934,2.2220675945281982,2.224931240081787,
12,,mlp,0,,,70,10000,2.670177936553955,2.6143720149993896,2.2499170303344727,2.2025129795074463,
13,,mlp,0,,,75,10000,3.2359535694122314,3.023474931716919,2.7688796520233154,2.601116180419922,
14,,mlp,0,,,80,10000,2.4735107421875,2.376791715621948,2.0819802284240723,2.0044894218444824,
15,,mlp,0,,,85,10000,2.4797227382659908,2.4204869270324707,2.0794117450714107,2.020448923110962,
16,,mlp,0,,,90,10000,3.15362286567688,3.022543907165528,2.686558485031128,2.5828897953033447,
17,,mlp,0,,,95,10000,3.1918673515319824,3.0219411849975586,2.7646050453186035,2.639169692993164,
