run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,featuresize,rmse_train,rmse_val,mae_train,mae_val
70,30446.978427410126,[8],8,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.480198621749878,1.927448034286499,1.107759952545166,1.415122389793396
70,31252.80417227745,[32],32,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.515154242515564,1.9535973072052002,1.133878469467163,1.4207990169525146
70,31282.99139070511,[8],16,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,10,1.7430490255355835,2.352301597595215,1.3441791534423828,1.8152236938476562
70,31400.80121731758,[128],16,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.6712205410003662,2.0048656463623047,1.25571608543396,1.4633302688598633
70,31579.206406116486,[32],32,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.3638314008712769,1.893774390220642,1.0058578252792358,1.3962438106536865
70,31689.870813131332,[32],64,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.4344613552093506,2.0437684059143066,1.0662870407104492,1.4622050523757935
70,32220.603582382202,[128],64,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.483502745628357,1.8850122690200806,1.1013562679290771,1.366532325744629
70,33522.21342897415,"[16, 128]",8,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.408552885055542,1.98444402217865,1.0467044115066528,1.4480655193328857
70,33855.699655056,"[16, 128]",8,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.526703119277954,1.9204105138778687,1.1401028633117676,1.380115270614624
70,33871.92579579353,[8],128,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.523111343383789,1.9037549495697021,1.1408131122589111,1.3658466339111328
70,33967.01696705818,[32],64,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.4217569828033447,1.9548327922821045,1.0562816858291626,1.424242377281189
70,34219.50718855858,"[64, 64]",16,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,5,1.6224873065948486,1.968266248703003,1.216471791267395,1.442568302154541
70,34384.555773973465,"[64, 16]",64,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.3389250040054321,2.097280502319336,1.0044922828674316,1.5025594234466553
70,34396.138717889786,[256],8,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.35007643699646,2.019251823425293,0.9948173761367798,1.4650675058364868
70,34719.92447042465,[256],16,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,1,10,1.5149904489517212,1.9481589794158936,1.1244550943374634,1.423774003982544
70,34916.92498636246,[128],64,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.1677690744400024,2.0071518421173096,0.853782057762146,1.4369128942489624
70,35046.275728702545,[16],128,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.3107274770736694,1.8671261072158813,0.961875319480896,1.3811365365982056
70,35070.15298628807,"[8, 32, 16]",16,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.4420156478881836,1.9073963165283203,1.065657615661621,1.3808012008666992
70,35083.090416908264,"[8, 32, 16]",8,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.4414571523666382,1.8725879192352295,1.0716636180877686,1.3835934400558472
70,35102.69272041321,"[64, 8, 64]",8,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.4080047607421875,1.8073444366455078,1.0301486253738403,1.3278509378433228
70,35133.22757482529,"[64, 8, 8]",16,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.744519829750061,2.3471336364746094,1.3260409832000732,1.8035914897918701
70,35219.49998044968,[64],64,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.1435973644256592,2.063720226287842,0.8373359441757202,1.4826675653457642
70,35271.81121850014,[8],256,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.4475187063217163,1.9378029108047485,1.0735852718353271,1.4186046123504639
70,35372.52751851082,"[64, 8, 128]",16,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.336722731590271,2.0239551067352295,0.9912934303283691,1.4615288972854614
70,35642.69641685486,"[16, 128]",64,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.2414088249206543,1.9781486988067627,0.8979204893112183,1.4244682788848877
70,35649.762644290924,[8],256,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.5016658306121826,1.9021022319793701,1.1188595294952393,1.3741357326507568
70,35674.818576812744,[8],256,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.3482197523117065,1.954010009765625,0.9978948831558228,1.404892921447754
70,36062.935094833374,[16],128,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,10,1.3298510313034058,1.8486789464950562,0.9820305109024048,1.3531148433685303
70,36680.006398677826,[8],256,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.4338899850845337,1.899941086769104,1.0630006790161133,1.408782958984375
70,36729.394208431244,"[256, 16]",32,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.3570455312728882,1.9304239749908447,1.0106738805770874,1.4203983545303345
70,36729.63360071182,"[32, 32]",64,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.2660439014434814,1.894601821899414,0.9211503863334656,1.391498327255249
70,36775.70003414154,[256],64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,5,1.3793094158172607,2.004146099090576,1.0129073858261108,1.4241001605987549
70,36809.245179891586,"[128, 32]",16,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.3959568738937378,1.891090989112854,1.0348176956176758,1.4017194509506226
70,36818.70989537239,"[8, 16]",128,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,2,5,1.4242721796035767,2.0536768436431885,1.064936876296997,1.4766864776611328
