run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
70,24101.19512295723,[16],16,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.852142572402954,2.039975881576538,1.349265456199646,1.4465649127960205
70,24339.59156537056,[16],16,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.8474771976470947,2.0118446350097656,1.3378448486328125,1.4100492000579834
70,25323.286173582077,[16],64,0.001,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.8669404983520508,1.9974247217178345,1.3589794635772705,1.4127298593521118
70,26988.17835497856,[16],64,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,1,2.186453342437744,2.2773430347442627,1.635486364364624,1.663857102394104
70,27639.380151987076,[16],64,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.8190685510635376,2.02913236618042,1.3343058824539185,1.454047679901123
70,28333.755464553833,[128],16,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.6779136657714844,1.9579960107803345,1.183716058731079,1.3654448986053467
70,28443.574667453766,[128],16,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,1,1.6469835042953491,1.9285414218902588,1.1702513694763184,1.3308732509613037
70,29432.221029281616,[128],16,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,1,2.0017857551574707,2.1421058177948,1.4777791500091553,1.545217514038086
70,32064.320784568787,[16],256,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.8040380477905273,1.958089828491211,1.3130022287368774,1.3893314599990845
70,32380.951008081436,[16],256,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.7995697259902954,1.9486291408538818,1.3076146841049194,1.3840878009796143
70,32416.029782533646,[16],256,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,1,1.8090970516204834,1.9912647008895874,1.3140209913253784,1.4157238006591797
70,32692.659872293472,[64],64,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.6164785623550415,1.9583122730255127,1.1523655652999878,1.354189157485962
70,32701.555239200592,[64],64,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,1,1.7065092325210571,1.9310054779052734,1.2222726345062256,1.3465728759765625
