run,execution_time,hiddensize,batchsize,learningrate,history,channels,kernelsize,activation,rmse_train,rmse_val,mae_train,mae_val
30,74189.33149170876,8,32,0.005,10,[14],2,<class 'torch.nn.modules.activation.ReLU'>,1.0880032777786255,1.9900929927825928,0.6987552642822266,1.1049647331237793
30,77664.70563554764,64,8,0.001,10,[28],4,<class 'torch.nn.modules.activation.ReLU'>,0.6473654508590698,1.878587007522583,0.4207812249660492,1.0481675863265991
30,78573.93921041489,8,64,0.01,14,[10],2,<class 'torch.nn.modules.activation.ReLU'>,1.0260248184204102,2.0019397735595703,0.6772332191467285,1.0987865924835205
30,79737.18002009392,64,16,0.001,10,[28],4,<class 'torch.nn.modules.activation.ReLU'>,0.35975173115730286,1.9506819248199463,0.2359538972377777,1.101911187171936
30,82601.93036723137,64,32,0.001,14,[10],3,<class 'torch.nn.modules.activation.ReLU'>,0.29032236337661743,1.9598414897918701,0.19469979405403137,1.1588983535766602
30,83157.91766119003,128,16,0.01,10,[14],2,<class 'torch.nn.modules.activation.ReLU'>,1.6548564434051514,1.814453125,1.0281572341918945,1.1149728298187256
30,85707.38323426247,64,32,0.001,10,[28],2,<class 'torch.nn.modules.activation.ReLU'>,0.24650418758392334,1.976773977279663,0.16502493619918823,1.137656569480896
30,88889.6111292839,128,64,0.005,14,[14],4,<class 'torch.nn.modules.activation.ReLU'>,0.307312548160553,1.9170751571655273,0.19346210360527039,1.0740524530410767
30,92311.72151756287,128,16,0.005,14,[28],4,<class 'torch.nn.modules.activation.ReLU'>,0.5382565259933472,1.9317948818206787,0.3470904231071472,1.1586405038833618
30,92728.17789053917,256,32,0.005,10,[14],3,<class 'torch.nn.modules.activation.ReLU'>,0.6440607309341431,1.954286813735962,0.3843044638633728,1.1890618801116943
30,93143.91669726372,32,256,0.001,10,[10],3,<class 'torch.nn.modules.activation.ReLU'>,0.33651527762413025,2.4403278827667236,0.23787114024162292,1.455610752105713
30,95368.50350952148,256,64,0.005,10,[10],2,<class 'torch.nn.modules.activation.ReLU'>,0.31639933586120605,1.9688708782196045,0.19657984375953674,1.1087814569473267
30,113787.88442373276,64,16,0.0001,10,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,1.256080985069275,1.9752908945083618,0.7761263847351074,1.1396939754486084
30,119707.37676000595,128,16,0.0001,14,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.8774664998054504,2.0595366954803467,0.6077716946601868,1.2373837232589722
30,120033.75851845741,8,64,0.001,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.26189684867858887,2.035447835922241,0.1771339476108551,1.1471086740493774
30,120641.50850129128,8,32,0.0001,14,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.9163123369216919,1.974957823753357,0.6033231616020203,1.1427817344665527
30,124316.81574487686,256,32,0.0001,10,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.5267003774642944,2.1545920372009277,0.3687784671783447,1.2405016422271729
30,124577.27135157585,32,256,0.001,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.38401269912719727,2.469545364379883,0.2703709006309509,1.3926928043365479
30,125752.5964307785,256,64,0.01,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.5639151334762573,1.8260494470596313,0.9366381764411926,1.0762659311294556
30,126155.18438839912,64,256,0.01,10,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.5522152185440063,2.12519907951355,0.3727206885814667,1.195040225982666
30,126933.23766493797,128,256,0.01,10,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.48876625299453735,2.0892486572265625,0.3060930371284485,1.1679089069366455
30,127050.20999097824,8,256,0.005,10,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.640766978263855,2.185302257537842,0.43937283754348755,1.2341033220291138
30,127590.07227826118,16,32,0.01,14,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.8285314440727234,1.9549989700317383,0.5643043518066406,1.1230617761611938
30,128789.82543635368,64,64,0.01,10,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.6539285778999329,2.056394577026367,0.43445807695388794,1.145214319229126
30,129119.98547291756,256,64,0.001,14,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.19364573061466217,1.8521400690078735,0.10873725265264511,1.0645253658294678
30,129610.16394710541,32,256,0.01,14,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.3599187731742859,2.097426652908325,0.2399313747882843,1.1973942518234253
30,130273.59905004501,64,256,0.001,14,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.12319643795490265,1.9598605632781982,0.08719704300165176,1.131136417388916
30,130328.62364459038,8,256,0.001,14,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.22016815841197968,2.1129250526428223,0.13929171860218048,1.2236400842666626
30,130805.42428970337,128,64,0.01,14,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,1.1746397018432617,1.8616981506347656,0.7605011463165283,1.1187611818313599
30,130939.35775899887,16,256,0.001,14,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.09570751339197159,2.0535690784454346,0.06296171247959137,1.2115482091903687
