,id,model,typ,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
0,MLP5D030A,mlp,5,30,A,0,,3.0516087261422706,2.992181947989452,1.971493772537059,1.987501306327766,finetuning
1,MLP5D030C1,mlp,5,30,C-OLS,0,,1.8251920731298896,1.8571139095869262,1.2964516735467488,1.2349739130593578,finetuning
2,MLP5D030C2,mlp,5,30,C-NNLS,0,,1.979726243935825,1.8807653997522134,1.3742442680888245,1.328624959797543,finetuning
3,MLP5D030D,mlp,5,30,D-MLP2,0,10.0,3.993272619070013,3.8963529501750096,2.6652186960835733,2.643561375043695,finetuning
4,MLP5D030B1,mlp,5,30,B-fb,0,5000.0,0.6926778554916382,0.7636364102363586,0.42025643587112427,0.489762157201767,finetuning
5,MLP5D030B2,mlp,5,30,B-fW2,0,50000.0,1.8063455820083616,1.7449591159820557,1.2668235301971436,1.2691391706466677,finetuning
6,MLP5D050A,mlp,5,50,A,0,,3.0121525972933396,2.9338399333370018,1.9455032786898312,1.9383095065295912,finetuning
7,MLP5D050C1,mlp,5,50,C-OLS,0,,2.051993307249556,2.0325035451474256,1.4568433131135172,1.393792540435843,finetuning
8,MLP5D050C2,mlp,5,50,C-NNLS,0,,2.080333769784799,1.9706261912346374,1.468472507749219,1.4079995717269262,finetuning
9,MLP5D050D,mlp,5,50,D-MLP2,0,10.0,4.0190455314515985,3.921212791993466,2.6816930393315888,2.6599461743599693,finetuning
10,MLP5D050B1,mlp,5,50,B-fb,0,5000.0,0.684455931186676,0.7704911828041077,0.4206722378730774,0.4991222023963928,finetuning
11,MLP5D050B2,mlp,5,50,B-fW2,0,50000.0,1.9799892902374268,1.8488603830337524,1.4455022811889648,1.437417984008789,finetuning
12,MLP5D070A,mlp,5,70,A,0,,3.0082102743918044,2.9120811891251663,1.957859705117094,1.9167365545778643,finetuning
13,MLP5D070C1,mlp,5,70,C-OLS,0,,2.1027261962136325,1.9096498239423731,1.4936777116027802,1.3760833238240706,finetuning
14,MLP5D070C2,mlp,5,70,C-NNLS,0,,2.136832357352888,1.9640457916181753,1.5105852887905145,1.4271388100856899,finetuning
15,MLP5D070D,mlp,5,70,D-MLP2,0,10.0,3.981875921514085,3.882964843234172,2.671923071673445,2.6494481974964863,finetuning
16,MLP5D070B1,mlp,5,70,B-fb,0,5000.0,0.6907733678817749,0.7722898125648499,0.43563732504844666,0.5083280801773071,finetuning
17,MLP5D070B2,mlp,5,70,B-fW2,0,50000.0,2.1739935874938965,2.13850212097168,1.6798003911972046,1.6000455617904663,finetuning
18,MLP5D0100A,mlp,5,100,A,0,,3.0240711404533096,2.918716195847307,1.9707515553537516,1.9173719754034593,finetuning
19,MLP5D0100C1,mlp,5,100,C-OLS,0,,2.1720845966247744,2.5488712282207513,1.584538445485612,1.511987845914603,finetuning
20,MLP5D0100C2,mlp,5,100,C-NNLS,0,,2.2108509629053166,2.026944127875755,1.5890958115851508,1.491658540000348,finetuning
21,MLP5D0100D,mlp,5,100,D-MLP2,0,10.0,4.125152539991966,4.029773287458002,2.7414211658948475,2.731088548806185,finetuning
22,MLP5D0100B1,mlp,5,100,B-fb,0,5000.0,0.6959673166275024,0.8093596696853638,0.4287749230861664,0.5103393197059631,finetuning
23,MLP5D0100B2,mlp,5,100,B-fW2,0,50000.0,2.4589159488677983,2.2525525093078613,2.0052433013916016,1.8995723724365237,finetuning
24,MLP6D030A,mlp,6,30,A,0,,1.8715169652179242,1.5537662834879407,1.1764078777158802,1.0505878881239181,finetuning
25,MLP6D030C1,mlp,6,30,C-OLS,0,,1.3006455583558705,1.189111147398093,0.82596897772288,0.8257224808540146,finetuning
26,MLP6D030C2,mlp,6,30,C-NNLS,0,,1.5652449987981936,1.4323087379775576,1.0311306301040575,1.001688529730497,finetuning
27,MLP6D030D,mlp,6,30,D-MLP2,0,10.0,3.98301305388716,3.8897416726754224,2.6634347108681067,2.6443383770662803,finetuning
28,MLP6D030B1,mlp,6,30,B-fb,0,5000.0,0.3957769572734833,0.8239426612854004,0.2445027530193329,0.4997542500495911,finetuning
29,MLP6D030B2,mlp,6,30,B-fW2,0,50000.0,1.267737865447998,1.191857099533081,0.8059942126274109,0.8324464559555054,finetuning
30,MLP6D050A,mlp,6,50,A,0,,1.8863589956807119,1.5681697310751208,1.1931017542226923,1.0609964770874438,finetuning
31,MLP6D050C1,mlp,6,50,C-OLS,0,,1.3055899673551261,1.190085899482456,0.8488949358711316,0.8158663214572988,finetuning
32,MLP6D050C2,mlp,6,50,C-NNLS,0,,1.6063217495639244,1.4054070266144818,1.0702930170134057,0.9890651729109763,finetuning
33,MLP6D050D,mlp,6,50,D-MLP2,0,10.0,3.9838926843094677,3.8880274524542955,2.663477332654927,2.64233179041141,finetuning
34,MLP6D050B1,mlp,6,50,B-fb,0,5000.0,0.3723587393760681,0.86766117811203,0.2315211296081543,0.5106209516525269,finetuning
35,MLP6D050B2,mlp,6,50,B-fW2,0,50000.0,1.3041667938232422,1.1909124851226809,0.8442716598510742,0.8077570199966431,finetuning
36,MLP6D070A,mlp,6,70,A,0,,1.8878795255787004,1.5665191453576028,1.1927390565258054,1.0637756390018196,finetuning
37,MLP6D070C1,mlp,6,70,C-OLS,0,,1.5283529049573645,1.4251836738337427,0.9788809226431299,0.9753316808239532,finetuning
38,MLP6D070C2,mlp,6,70,C-NNLS,0,,1.696769479989528,1.4990316723648505,1.1688391868354642,1.1004177122111258,finetuning
39,MLP6D070D,mlp,6,70,D-MLP2,0,10.0,4.018558535005997,3.9255125593890297,2.67254316642063,2.6572089240404972,finetuning
40,MLP6D070B1,mlp,6,70,B-fb,0,5000.0,0.3898785412311554,0.8885766863822937,0.2434750497341156,0.5226420164108276,finetuning
41,MLP6D070B2,mlp,6,70,B-fW2,0,50000.0,1.5389872789382937,1.4510098695755005,0.9904168248176576,0.9894134402275084,finetuning
42,MLP6D0100A,mlp,6,100,A,0,,1.893031844401105,1.5781803252426287,1.195341484384798,1.071846511224558,finetuning
43,MLP6D0100C1,mlp,6,100,C-OLS,0,,1.5155667838314257,1.4127338639405669,0.9784265922060189,0.9766678259474493,finetuning
44,MLP6D0100C2,mlp,6,100,C-NNLS,0,,1.6377623072849297,1.4696755727004764,1.116143603684331,1.077085684327114,finetuning
45,MLP6D0100D,mlp,6,100,D-MLP2,0,10.0,4.052959175565677,3.9570168700484913,2.6982244279550054,2.6811404394580642,finetuning
46,MLP6D0100B1,mlp,6,100,B-fb,0,5000.0,0.3735621571540833,0.963891625404358,0.2357928305864334,0.5304064750671387,finetuning
47,MLP6D0100B2,mlp,6,100,B-fW2,0,50000.0,1.5153000354766846,1.4189910888671875,0.9786853790283204,0.9894622564315796,finetuning
48,MLP7D030A,mlp,7,30,A,0,,16.447505762116773,11.23742332803997,7.052829230690908,5.15131547381588,finetuning
49,MLP7D030C1,mlp,7,30,C-OLS,0,,2.1796450358107,2.1582170040859454,1.713798703644222,1.6674023684985209,finetuning
50,MLP7D030C2,mlp,7,30,C-NNLS,0,,2.8114326749480996,2.6931787385901673,2.332722108170871,2.2419267635658575,finetuning
51,MLP7D030D,mlp,7,30,D-MLP2,0,10.0,3.97664240420873,3.8890973067230425,2.6679535097577363,2.6473989431289846,finetuning
52,MLP7D030B1,mlp,7,30,B-fb,0,5000.0,0.5354233980178833,1.3207305669784546,0.3349304795265198,0.5906667709350586,finetuning
53,MLP7D030B2,mlp,7,30,B-fW2,0,50000.0,2.173633098602295,2.244385242462158,1.706788420677185,1.709363579750061,finetuning
54,MLP7D050A,mlp,7,50,A,0,,9.811920110058246,22.09733231979654,4.0846944952150075,5.89477234683294,finetuning
55,MLP7D050C1,mlp,7,50,C-OLS,0,,2.495309342718103,2.515520519454032,2.0023636609046838,1.9123255374259955,finetuning
56,MLP7D050C2,mlp,7,50,C-NNLS,0,,2.8824472760024396,2.9089996244451917,2.422891464069858,2.430202946659864,finetuning
57,MLP7D050D,mlp,7,50,D-MLP2,0,10.0,3.924109869029023,3.8358986779048907,2.6691826028491286,2.66381767656748,finetuning
58,MLP7D050B1,mlp,7,50,B-fb,0,5000.0,0.5084009170532227,3.2091126441955566,0.3160521984100342,0.7182244062423706,finetuning
59,MLP7D050B2,mlp,7,50,B-fW2,0,50000.0,2.4805970191955566,2.720890045166016,1.9948711395263672,1.9566552639007568,finetuning
60,MLP7D070A,mlp,7,70,A,0,,11.738612375970868,12.673586857478,5.877551773769044,5.6604202369522785,finetuning
61,MLP7D070C1,mlp,7,70,C-OLS,0,,2.4739306476687735,2.840309167576552,1.9953993947183295,1.9944222407772254,finetuning
62,MLP7D070C2,mlp,7,70,C-NNLS,0,,2.858864357604704,2.8457052533199865,2.381178954829263,2.3668922198435958,finetuning
63,MLP7D070D,mlp,7,70,D-MLP2,0,10.0,3.9821127984168356,3.9010049021612545,2.6944347968583062,2.6601429036420137,finetuning
64,MLP7D070B1,mlp,7,70,B-fb,0,5000.0,0.5033143162727356,0.93086040019989,0.31737837195396423,0.5512285232543945,finetuning
65,MLP7D070B2,mlp,7,70,B-fW2,0,50000.0,2.504213809967041,2.8600988388061523,2.0367648601531982,2.0243995189666752,finetuning
66,MLP7D0100A,mlp,7,100,A,0,,14.533720865125748,10.150785977472413,5.949210435864694,4.296810733578569,finetuning
67,MLP7D0100C1,mlp,7,100,C-OLS,0,,2.4403233258643113,2.441055822118387,1.9600033121503118,1.9072714859320363,finetuning
68,MLP7D0100C2,mlp,7,100,C-NNLS,0,,2.707752440301036,2.754804554529547,2.256281169478398,2.239214282718648,finetuning
69,MLP7D0100D,mlp,7,100,D-MLP2,0,10.0,4.026898689912986,3.93584899489448,2.6955601692408435,2.6745471237939205,finetuning
70,MLP7D0100B1,mlp,7,100,B-fb,0,5000.0,0.4698542058467865,0.9864299893379213,0.2976774871349335,0.5439891219139099,finetuning
71,MLP7D0100B2,mlp,7,100,B-fW2,0,50000.0,2.4997057914733887,2.557969570159912,2.0288634300231934,1.9557430744171145,finetuning
72,MLP8D030A,mlp,8,30,A,0,,18.666698594597214,26.7546396002263,6.4893981497521125,7.445895152463199,finetuning
73,MLP8D030C1,mlp,8,30,C-OLS,0,,2.4796390959315744,2.549285526886467,1.9591782520895755,2.008954092421954,finetuning
74,MLP8D030C2,mlp,8,30,C-NNLS,0,,2.7136858972591367,2.7296848897140498,2.2342721529767853,2.248546187242984,finetuning
75,MLP8D030D,mlp,8,30,D-MLP2,0,10.0,4.03154814169775,3.931564717948782,2.7010154994139315,2.676367014114282,finetuning
76,MLP8D030B1,mlp,8,30,B-fb,0,5000.0,0.5724313259124756,1.049647092819214,0.3570190966129303,0.5684417486190796,finetuning
77,MLP8D030B2,mlp,8,30,B-fW2,0,50000.0,2.4582347869873047,2.53137731552124,1.93170428276062,1.9840282201766968,finetuning
78,MLP8D050A,mlp,8,50,A,0,,13.069975502163619,14.800825070842388,5.0070679749556,5.0674502688013146,finetuning
79,MLP8D050C1,mlp,8,50,C-OLS,0,,2.734839642803137,2.8852405838804356,2.280072439754695,2.3644185438100402,finetuning
80,MLP8D050C2,mlp,8,50,C-NNLS,0,,2.920479629894726,2.9321896932890374,2.4812031162515416,2.4660150146252953,finetuning
81,MLP8D050D,mlp,8,50,D-MLP2,0,10.0,4.011547920977585,3.910667590921014,2.683501412275713,2.6549078771277745,finetuning
82,MLP8D050B1,mlp,8,50,B-fb,0,5000.0,0.6048726439476013,1.146846055984497,0.3722357451915741,0.574312686920166,finetuning
83,MLP8D050B2,mlp,8,50,B-fW2,0,50000.0,2.732507467269897,2.9305460453033447,2.2860145568847656,2.3829259872436523,finetuning
84,MLP8D070A,mlp,8,70,A,0,,11.848065555607452,18.121557206217776,4.454985286927192,5.71572454818031,finetuning
85,MLP8D070C1,mlp,8,70,C-OLS,0,,2.786428276481131,2.6895737645881415,2.3081854683451817,2.2106059103498716,finetuning
86,MLP8D070C2,mlp,8,70,C-NNLS,0,,2.915151087911599,2.8028747625978063,2.4619689199651824,2.37177347425575,finetuning
87,MLP8D070D,mlp,8,70,D-MLP2,0,10.0,4.0136138002102015,3.9140320956667383,2.6837414541604043,2.6601826013952286,finetuning
88,MLP8D070B1,mlp,8,70,B-fb,0,5000.0,0.5396866798400879,1.2308038473129272,0.33674156665802,0.56110680103302,finetuning
89,MLP8D070B2,mlp,8,70,B-fW2,0,50000.0,2.789258480072021,2.777318954467773,2.312361478805542,2.242432117462158,finetuning
90,MLP8D0100A,mlp,8,100,A,0,,19.539281745015703,41.06857154115583,4.88773094323092,7.929031654158822,finetuning
91,MLP8D0100C1,mlp,8,100,C-OLS,0,,2.729422457853716,5.267126463085086,2.2411181990098625,2.4704608209020043,finetuning
92,MLP8D0100C2,mlp,8,100,C-NNLS,0,,2.9488570606614717,3.039164978651958,2.5102132741822403,2.540051998933021,finetuning
93,MLP8D0100D,mlp,8,100,D-MLP2,0,10.0,3.9579420518595008,3.897743856420316,2.6650959775643885,2.656831461866451,finetuning
94,MLP8D0100B1,mlp,8,100,B-fb,0,5000.0,0.5334954261779785,0.9266632199287416,0.3276132643222809,0.5199310183525085,finetuning
95,MLP8D0100B2,mlp,8,100,B-fW2,0,50000.0,2.727593183517456,2.821518659591675,2.239562511444092,2.3393001556396484,finetuning
96,MLP9D030A,mlp,9,30,A,0,,1.8993014682176574,1.5942728793097984,1.2508457847646113,1.0787152604077128,finetuning
97,MLP9D030C1,mlp,9,30,C-OLS,0,,0.5660558786741342,0.7996676329729162,0.3555645417994673,0.536976451961768,finetuning
98,MLP9D030C2,mlp,9,30,C-NNLS,0,,0.7945252530082699,0.8507887363200339,0.4939591632632066,0.5405337196773286,finetuning
99,MLP9D030D,mlp,9,30,D-MLP2,0,10.0,3.0278650108104723,3.017773476420593,2.1746754486847046,2.184906434477124,finetuning
100,MLP9D030B1,mlp,9,30,B-fb,0,5000.0,0.5482472181320189,0.7589495182037354,0.3302828073501587,0.4876745641231537,finetuning
101,MLP9D050A,mlp,9,50,A,0,,1.9307339639863366,1.5856721043317974,1.26132233527844,1.0672958372179506,finetuning
102,MLP9D050C1,mlp,9,50,C-OLS,0,,0.5528850452555668,0.8244457918718917,0.3510086580752055,0.5451804425948995,finetuning
103,MLP9D050C2,mlp,9,50,C-NNLS,0,,0.7873268549578443,0.8410336823260804,0.4882419780858953,0.5382184714314711,finetuning
104,MLP9D050D,mlp,9,50,D-MLP2,0,10.0,2.991128365684134,2.98260311942027,2.205397209695884,2.20604621758511,finetuning
105,MLP9D050B1,mlp,9,50,B-fb,0,5000.0,0.5278364419937134,0.73723304271698,0.3148068487644196,0.4680272042751312,finetuning
106,MLP9D070A,mlp,9,70,A,0,,1.9288388479438332,1.5881076692138698,1.259127039505974,1.0691370570490057,finetuning
107,MLP9D070C1,mlp,9,70,C-OLS,0,,0.5570747151452321,0.8192303949085735,0.351627834690848,0.5522496766989473,finetuning
108,MLP9D070C2,mlp,9,70,C-NNLS,0,,0.7887374015170109,0.8424630632622454,0.4894326365149516,0.5368573007698796,finetuning
