,id,model,typ,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
0,MLP0nP2D0R,mlp,0,,,0,10000,0.502784788608551,0.7629355788230896,0.3007430136203766,0.4867032170295715,selected
1,MLP0nP2D0S,mlp,0,,,0,10000,0.4920576214790344,0.74643874168396,0.29258158802986145,0.475677102804184,selected
2,MLP0aP3D0R,mlp,0,,,0,10000,0.6566911935806274,0.7833381891250609,0.3981676995754242,0.4924018383026123,selected
3,MLP0aP3D0S,mlp,0,,,0,10000,0.6142827272415161,0.7515823245048523,0.3664533793926239,0.4637706279754639,selected
4,MLP0aP3D1R,mlp,0,,,1,10000,0.6181010007858276,0.7336056232452393,0.3743324875831604,0.4738454222679138,selected
5,MLP0aP3D1S,mlp,0,,,1,10000,0.6610723733901978,0.7827129364013672,0.39497631788253773,0.4912989139556885,selected
6,MLP0aP3D2R,mlp,0,,,2,10000,0.6720488667488098,0.7379122972488403,0.4044058322906494,0.4661184251308441,selected
7,MLP0aP3D2S,mlp,0,,,2,10000,0.6325932741165161,0.7514798045158386,0.3868086934089661,0.4698392748832703,selected
8,MLP4nP1D0R,mlp,4,,,0,10000,0.5660109519958496,0.7187660932540894,0.33789780735969543,0.4574082493782044,selected
9,CNN0nP2D0R,cnn,0,,,0,10000,0.6911980509757996,1.32979416847229,0.446113646030426,0.8241565823554993,selected
10,LSTM0nP2D0R,lstm,0,,,0,10000,1.1419289112091064,1.226191759109497,0.6981807947158813,0.7575036287307739,selected
11,RF0,rf,0,,,,,0.4524757705116624,0.7646869400037543,0.2675646884543371,0.471043460239115,selected
12,MLP2aP3D1R,mlp,2,,,1,10000,1.379218339920044,2.12820816040039,1.0228078365325928,1.5766563415527344,architecture_search
13,MLP2aP3D0R,mlp,2,,,0,10000,1.356328010559082,1.953316330909729,0.984657883644104,1.4252688884735107,architecture_search
14,MLP2nP2D0R,mlp,2,,,0,10000,1.2186230421066284,1.9316089153289795,0.8782688975334167,1.40399432182312,architecture_search
15,CNN2nP2D0R,cnn,2,,,0,10000,1.818891525268555,2.6897809505462646,1.3872694969177246,2.0587925910949707,architecture_search
16,LSTM2nP2D0R,lstm,2,,,0,10000,1.8618221282958984,2.6408028602600098,1.4045779705047607,2.0155155658721924,architecture_search
17,RF2,rf,2,,,,,0.46030983424030897,0.7486888345094803,0.2712954899951439,0.46508168310836523,architecture_search
18,MLP5DD030P0,mlp,5,30,,0.0,5000,1.9602361917495728,1.92431902885437,0.92955482006073,0.934414267539978,pretraining
19,MLP5DD050P0,mlp,5,50,,0.0,10000,2.0640652179718018,2.056206226348877,0.9736533164978028,0.9784852266311646,pretraining
20,MLP5DD070P0,mlp,5,70,,0.0,20000,2.0288796424865723,2.0316855907440186,0.9744808077812196,0.9791692495346068,pretraining
21,MLP5DD0100P0,mlp,5,100,,0.0,30000,1.986421823501587,1.988365173339844,0.940909743309021,0.9433463811874391,pretraining
22,MLP6D030P0,mlp,6,30,,0.0,10000,0.1887483149766922,0.19138990342617035,0.10983674228191376,0.11088931560516356,pretraining
23,MLP6D050P0,mlp,6,50,,0.0,20000,0.19093890488147736,0.1906672716140747,0.11324528604745865,0.11333557218313214,pretraining
