,id,model,typ,architecture,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
0,MLP011D0,mlp,0,6,,,0,1000,0.37275758385658253,1.0114507675170898,0.7037715911865234,0.7037715911865234,sparse_selected
1,MLP0S1D0,mlp,6,6,30,B-fb,0,5000,0.3924028277397156,1.076289176940918,0.2385181188583374,0.709267795085907,sparse_finetuning
2,MLP0S1D0,mlp,7,6,30,B-fb,0,5000,0.4125842154026032,1.166727900505066,0.2671242654323578,0.6583932638168335,sparse_finetuning
3,MLP0S1D0,mlp,8,6,30,B-fb,0,5000,0.3669474422931671,0.9341925382614136,0.22557055950164795,0.6224765777587891,sparse_finetuning
4,MLP0S1D0,mlp,6,6,30,B-fW2,0,40000,0.9848682284355164,1.4310834407806396,0.580645740032196,0.9451223611831664,sparse_finetuning
5,MLP0S1D0,mlp,7,6,30,B-fW2,0,40000,1.1385698318481443,1.461150050163269,0.811782717704773,1.033011794090271,sparse_finetuning
6,MLP0S1D0,mlp,8,6,30,B-fW2,0,40000,1.0046993494033811,1.3338720798492432,0.691228449344635,0.8980620503425598,sparse_finetuning
7,MLP0S1D0,mlp,6,6,30,C-OLS,0,,0.6186845423726136,1.2983187066512596,0.4009706201376562,0.8410026246794109,sparse_finetuning
8,MLP0S1D0,mlp,7,6,30,C-OLS,0,,0.8831143425603806,1.6115126168046054,0.6404101497355129,0.965070312814292,sparse_finetuning
9,MLP0S1D0,mlp,8,6,30,C-OLS,0,,0.8335502168655615,4.424082368566564,0.5840013039878195,1.277327500381658,sparse_finetuning
